Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
277.61	0.10132	25.140	0.039777	-5.0141	-5.0101	-16.297	64.062	77.601	1168.2	-0.34718	747.69	0.20411	liquid
278.61	0.10132	25.111	0.039823	-4.9364	-4.9324	-16.018	64.218	77.757	1164.8	-0.34615	735.44	0.20392	liquid
279.61	0.10132	25.082	0.039869	-4.8586	-4.8546	-15.739	64.376	77.914	1161.4	-0.34510	723.47	0.20373	liquid
280.61	0.10132	25.053	0.039916	-4.7806	-4.7766	-15.461	64.535	78.074	1158.0	-0.34404	711.78	0.20354	liquid
281.61	0.10132	25.024	0.039962	-4.7025	-4.6984	-15.183	64.696	78.236	1154.6	-0.34297	700.34	0.20335	liquid
282.61	0.10132	24.994	0.040009	-4.6242	-4.6201	-14.905	64.857	78.400	1151.2	-0.34188	689.16	0.20316	liquid
283.61	0.10132	24.965	0.040056	-4.5457	-4.5416	-14.628	65.021	78.566	1147.9	-0.34079	678.24	0.20297	liquid
284.61	0.10132	24.936	0.040103	-4.4670	-4.4630	-14.351	65.185	78.734	1144.5	-0.33967	667.55	0.20278	liquid
285.61	0.10132	24.907	0.040150	-4.3882	-4.3842	-14.075	65.351	78.904	1141.1	-0.33855	657.10	0.20259	liquid
286.61	0.10132	24.878	0.040197	-4.3092	-4.3052	-13.798	65.517	79.076	1137.8	-0.33741	646.89	0.20240	liquid
287.61	0.10132	24.848	0.040244	-4.2301	-4.2260	-13.523	65.686	79.250	1134.5	-0.33626	636.89	0.20221	liquid
288.61	0.10132	24.819	0.040291	-4.1507	-4.1467	-13.247	65.855	79.426	1131.2	-0.33509	627.11	0.20202	liquid
