Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
329.16	0.10132	54.687	0.018286	4.2237	4.2256	14.067	71.999	75.364	1548.2	-0.20288	495.63	0.64706	liquid
330.16	0.10132	54.660	0.018295	4.2991	4.3009	14.296	71.909	75.371	1549.0	-0.20232	487.93	0.64807	liquid
331.16	0.10132	54.632	0.018304	4.3744	4.3763	14.524	71.818	75.378	1549.7	-0.20177	480.42	0.64907	liquid
332.16	0.10132	54.604	0.018314	4.4498	4.4517	14.751	71.727	75.385	1550.4	-0.20122	473.10	0.65005	liquid
333.16	0.10132	54.575	0.018323	4.5252	4.5271	14.977	71.636	75.393	1551.0	-0.20066	465.96	0.65101	liquid
334.16	0.10132	54.547	0.018333	4.6006	4.6025	15.203	71.545	75.401	1551.6	-0.20011	459.01	0.65196	liquid
335.16	0.10132	54.518	0.018343	4.6760	4.6779	15.429	71.453	75.409	1552.1	-0.19956	452.22	0.65289	liquid
336.16	0.10132	54.488	0.018353	4.7514	4.7533	15.653	71.361	75.418	1552.6	-0.19901	445.60	0.65380	liquid
337.16	0.10132	54.459	0.018363	4.8268	4.8287	15.877	71.269	75.427	1553.0	-0.19846	439.14	0.65470	liquid
338.16	0.10132	54.429	0.018373	4.9023	4.9041	16.101	71.176	75.436	1553.4	-0.19791	432.84	0.65558	liquid
339.16	0.10132	54.398	0.018383	4.9777	4.9796	16.324	71.084	75.445	1553.8	-0.19736	426.69	0.65645	liquid
340.16	0.10132	54.368	0.018393	5.0532	5.0550	16.546	70.991	75.455	1554.1	-0.19682	420.68	0.65730	liquid
341.16	0.10132	54.337	0.018404	5.1286	5.1305	16.767	70.898	75.465	1554.3	-0.19627	414.82	0.65814	liquid
342.16	0.10132	54.305	0.018414	5.2041	5.2060	16.988	70.804	75.475	1554.6	-0.19572	409.09	0.65896	liquid
343.16	0.10132	54.274	0.018425	5.2796	5.2814	17.208	70.711	75.485	1554.7	-0.19517	403.49	0.65977	liquid
344.16	0.10132	54.242	0.018436	5.3551	5.3569	17.428	70.617	75.496	1554.9	-0.19462	398.03	0.66056	liquid
345.16	0.10132	54.210	0.018447	5.4306	5.4324	17.647	70.523	75.507	1555.0	-0.19407	392.68	0.66133	liquid
346.16	0.10132	54.177	0.018458	5.5061	5.5079	17.866	70.429	75.518	1555.1	-0.19352	387.46	0.66209	liquid
347.16	0.10132	54.145	0.018469	5.5816	5.5835	18.083	70.335	75.530	1555.1	-0.19297	382.36	0.66284	liquid
348.16	0.10132	54.112	0.018480	5.6571	5.6590	18.301	70.241	75.542	1555.1	-0.19242	377.37	0.66357	liquid
349.16	0.10132	54.078	0.018492	5.7327	5.7345	18.517	70.147	75.554	1555.0	-0.19187	372.49	0.66428	liquid
350.16	0.10132	54.045	0.018503	5.8082	5.8101	18.734	70.053	75.566	1554.9	-0.19132	367.71	0.66499	liquid
351.16	0.10132	54.011	0.018515	5.8838	5.8857	18.949	69.958	75.579	1554.8	-0.19076	363.04	0.66567	liquid
352.16	0.10132	53.977	0.018527	5.9594	5.9613	19.164	69.864	75.592	1554.6	-0.19021	358.48	0.66634	liquid
353.16	0.10132	53.942	0.018538	6.0350	6.0369	19.378	69.769	75.606	1554.4	-0.18965	354.01	0.66700	liquid
354.16	0.10132	53.908	0.018550	6.1106	6.1125	19.592	69.675	75.619	1554.2	-0.18910	349.63	0.66764	liquid
355.16	0.10132	53.872	0.018562	6.1862	6.1881	19.805	69.580	75.634	1553.9	-0.18854	345.35	0.66827	liquid
356.16	0.10132	53.837	0.018575	6.2619	6.2637	20.018	69.486	75.648	1553.6	-0.18798	341.16	0.66889	liquid
357.16	0.10132	53.802	0.018587	6.3375	6.3394	20.230	69.391	75.663	1553.3	-0.18742	337.05	0.66949	liquid
358.16	0.10132	53.766	0.018599	6.4132	6.4151	20.442	69.296	75.678	1552.9	-0.18686	333.04	0.67007	liquid
359.16	0.10132	53.730	0.018612	6.4889	6.4908	20.653	69.202	75.693	1552.5	-0.18629	329.10	0.67064	liquid
360.16	0.10132	53.693	0.018624	6.5646	6.5665	20.863	69.107	75.709	1552.0	-0.18573	325.24	0.67120	liquid
361.16	0.10132	53.657	0.018637	6.6403	6.6422	21.073	69.013	75.725	1551.5	-0.18516	321.47	0.67175	liquid
362.16	0.10132	53.620	0.018650	6.7160	6.7179	21.283	68.918	75.741	1551.0	-0.18459	317.77	0.67228	liquid
363.16	0.10132	53.582	0.018663	6.7918	6.7937	21.491	68.824	75.758	1550.4	-0.18402	314.14	0.67279	liquid
364.16	0.10132	53.545	0.018676	6.8675	6.8694	21.700	68.729	75.775	1549.9	-0.18345	310.58	0.67330	liquid
365.16	0.10132	53.507	0.018689	6.9433	6.9452	21.908	68.635	75.793	1549.2	-0.18287	307.10	0.67379	liquid
366.16	0.10132	53.469	0.018702	7.0191	7.0210	22.115	68.541	75.811	1548.6	-0.18230	303.69	0.67426	liquid
367.16	0.10132	53.431	0.018716	7.0949	7.0968	22.322	68.446	75.829	1547.9	-0.18172	300.34	0.67472	liquid
368.16	0.10132	53.393	0.018729	7.1708	7.1727	22.528	68.352	75.848	1547.2	-0.18113	297.05	0.67517	liquid
369.16	0.10132	53.354	0.018743	7.2466	7.2485	22.734	68.258	75.867	1546.4	-0.18055	293.83	0.67561	liquid
370.16	0.10132	53.315	0.018757	7.3225	7.3244	22.939	68.164	75.886	1545.7	-0.17996	290.67	0.67603	liquid
371.16	0.10132	53.275	0.018770	7.3984	7.4003	23.144	68.071	75.906	1544.9	-0.17937	287.58	0.67644	liquid
372.16	0.10132	53.236	0.018784	7.4743	7.4762	23.348	67.977	75.926	1544.0	-0.17878	284.54	0.67683	liquid
373.12	0.10132	53.198	0.018798	7.5475	7.5494	23.545	67.887	75.946	1543.2	-0.17821	281.66	0.67720	liquid
373.12	0.10133	0.033175	30.143	45.146	48.200	132.49	28.027	37.471	472.18	66.729	12.231	0.024568	vapor
373.16	0.10132	0.033172	30.146	45.147	48.202	132.50	28.025	37.468	472.21	66.693	12.233	0.024571	vapor
374.16	0.10132	0.033076	30.234	45.176	48.239	132.60	27.967	37.385	472.92	65.695	12.271	0.024654	vapor
375.16	0.10132	0.032980	30.321	45.204	48.276	132.70	27.913	37.307	473.63	64.733	12.310	0.024736	vapor
376.16	0.10132	0.032886	30.408	45.233	48.314	132.79	27.862	37.234	474.34	63.802	12.348	0.024819	vapor
377.16	0.10132	0.032792	30.495	45.261	48.351	132.89	27.814	37.165	475.04	62.901	12.387	0.024903	vapor
378.16	0.10132	0.032699	30.582	45.289	48.388	132.99	27.769	37.100	475.74	62.026	12.426	0.024986	vapor
379.16	0.10132	0.032606	30.669	45.318	48.425	133.09	27.727	37.038	476.43	61.176	12.464	0.025069	vapor
380.16	0.10132	0.032514	30.756	45.346	48.462	133.19	27.687	36.979	477.12	60.350	12.503	0.025152	vapor
381.16	0.10132	0.032422	30.843	45.374	48.499	133.28	27.649	36.923	477.81	59.545	12.542	0.025236	vapor
382.16	0.10132	0.032332	30.929	45.402	48.536	133.38	27.614	36.869	478.49	58.761	12.580	0.025320	vapor
383.16	0.10132	0.032241	31.016	45.430	48.573	133.48	27.579	36.818	479.17	57.996	12.619	0.025403	vapor
384.16	0.10132	0.032152	31.102	45.458	48.610	133.57	27.547	36.769	479.85	57.249	12.658	0.025487	vapor
385.16	0.10132	0.032063	31.189	45.486	48.646	133.67	27.516	36.722	480.52	56.519	12.697	0.025571	vapor
386.16	0.10132	0.031974	31.275	45.514	48.683	133.76	27.487	36.677	481.19	55.805	12.736	0.025655	vapor
387.16	0.10132	0.031886	31.361	45.542	48.720	133.86	27.459	36.633	481.86	55.106	12.775	0.025739	vapor
388.16	0.10132	0.031799	31.448	45.570	48.756	133.95	27.432	36.591	482.53	54.422	12.814	0.025824	vapor
389.16	0.10132	0.031712	31.534	45.598	48.793	134.05	27.406	36.551	483.19	53.753	12.853	0.025908	vapor
390.16	0.10132	0.031626	31.620	45.626	48.829	134.14	27.381	36.513	483.86	53.096	12.892	0.025993	vapor
391.16	0.10132	0.031540	31.706	45.653	48.866	134.23	27.358	36.475	484.52	52.453	12.931	0.026077	vapor
392.16	0.10132	0.031455	31.792	45.681	48.902	134.33	27.335	36.440	485.17	51.822	12.970	0.026162	vapor
393.16	0.10132	0.031370	31.878	45.709	48.939	134.42	27.314	36.405	485.83	51.203	13.009	0.026247	vapor
